Block MASS   #
  #  PDG code     mass                 particle
  9900024     750.000    # W_R+
  9900041     200.000    # H_L++
  9900042     200.000    # H_R++
  9900110       0.000    # rho_dif0
  9900130       0.000    # K_dif0
  9900210       0.000    # pi_dif+
  9900220       0.000    # omega_dif
  9900310       0.000    # K_dif0
  9900320       0.000    # K_dif+
  9900330       0.000    # phi_dif
  9900410       0.000    # D_dif+
  9900420       0.000    # D_dif0
  9900430       0.000    # D_sdif+
  9900440       0.000    # J/psi_dif
  9900510       0.000    # B_dif0
  9900520       0.000    # B_dif+
  9900530       0.000    # B_sdif0
  9900540       0.000    # B_cdif+
  9900550       0.000    # Upsilon_dif
  9901110       0.000    # Delta_dif-
  9902110       0.000    # n_dif0
  9902130       0.000    # Lambda*_dif0
  9902210       0.000    # p_dif+
  9902220       0.000    # Delta_dif++
  9903110       0.000    # Sigma_dif-
  9903120       0.000    # Lambda_dif0
  9903210       0.000    # Sigma_dif0
  9903220       0.000    # Sigma_dif+
  9903310       0.000    # Xi_dif-
  9903320       0.000    # Xi_dif0
  9903330       0.000    # Omega_dif-
  9904110       0.000    # Sigma_cdif0
  9904120       0.000    # Lambda_cdif+
  9904130       0.000    # Xi_cdif0
  9904210       0.000    # Sigma_cdif+
  9904220       0.000    # Sigma_cdif++
  9904230       0.000    # Xi_cdif+
  9904310       0.000    # Xi'_cdif0
  9904320       0.000    # Xi'_cdif+
  9904330       0.000    # Omega_cdif0
  9905110       0.000    # Sigma_bdif-
  9905120       0.000    # Lambda_bdif0
  9905130       0.000    # Xi_bdif-
  9905210       0.000    # Sigma_bdif0
  9905220       0.000    # Sigma_bdif+
  9905230       0.000    # Xi_bdif0
  9905310       0.000    # Xi'_bdif-
  9905320       0.000    # Xi'_bdif0
  9905330       0.000    # Omega_bdif-
  9940003       3.297    # J/psi[3S1(8)]
  9940005       3.756    # chi_2c[3S1(8)]
  9940011       3.615    # chi_0c[3S1(8)]
  9940023       3.711    # chi_1c[3S1(8)]
  9940103       3.886    # psi(2S)[3S1(8)]
  9941003       3.297    # J/psi[1S0(8)]
  9941103       3.886    # psi(2S)[1S0(8)]
  9942003       3.297    # J/psi[3PJ(8)]
  9942033       3.973    # psi(3770)[3PJ(8)]
  9942103       3.886    # psi(2S)[3PJ(8)]
  9950003       9.660    # Upsilon[3S1(8)]
  9950005      10.112    # chi_2b[3S1(8)]
  9950011      10.059    # chi_0b[3S1(8)]
  9950023      10.093    # chi_1b[3S1(8)]
  9950103      10.223    # Upsilon(2S)[3S1(8)]
  9950203      10.555    # Upsilon(3S)[3S1(8)]
  9951003       9.660    # Upsilon[1S0(8)]
  9951103      10.223    # Upsilon(2S)[1S0(8)]
  9951203      10.555    # Upsilon(3S)[1S0(8)]
  9952003       9.660    # Upsilon[3PJ(8)]
  9952103      10.223    # Upsilon(2S)[3PJ(8)]
  9952203      10.555    # Upsilon(3S)[3PJ(8)]
1000010020       1.876    # 2H
1000020040       3.728    # 4He
1000030060       5.603    # 6Li
1000040090       8.395    # 9Be
1000060120      11.178    # 12C
1000070140      13.047    # 14N
1000080160      14.899    # 16O
1000130270      25.133    # 27Al
1000180400      37.225    # 40Ar
1000260560      52.103    # 56Fe
1000290630      58.619    # 63Cu
1000360840      78.163    # 84Kr
1000471070      99.581    # 107Ag
1000541290     120.046    # 129Xe
1000791970     183.473    # 197Au
1000822080     193.729    # 208Pb
