event	pdg_id	mass	charge	pt	eta	phi	energy	long_lived	mothers	daughters
44	1009213	1001.0499877929688	1	276.4974060058594	1.5421781539916992	0.8034273386001587	1207.8404486523618	0	1009002,21,21	
46	1000993	1001.0999755859375	0	550.5262451171875	0.1762637495994568	-1.6987072229385376	1146.6449186910727	0	-1009002,21	
46	1009213	1001.0499877929688	-1	517.7008056640625	-0.7458829879760742	1.4629069566726685	1203.7478214255161	0	1009002,21,21	
47	1009313	1001.2249755859375	0	479.9625244140625	-1.1893593072891235	0.16578052937984467	1320.7720304057962	0	-1009002,21,21	
47	1000993	1001.0999755859375	0	460.6955261230469	-1.7099766731262207	2.946611166000366	1652.875509902916	0	1009002,21	
48	1092114	1001.375	0	52.71464538574219	2.7593250274658203	-1.4464061260223389	1085.0500965321687	0	-1009002,21,21	
48	1092114	1001.375	0	333.4281311035156	1.462159276008606	2.784802198410034	1255.9421311496503	0	1009002,21,21,21	
50	1009113	1001.0499877929688	0	396.83148193359375	-0.37731143832206726	0.7159326672554016	1087.6945206856967	0	-1009002,21	
50	1009213	1001.0499877929688	-1	248.4195098876953	1.1886879205703735	-1.2654480934143066	1095.7420711976492	0	1009002,21	
52	1000993	1001.0999755859375	0	631.28955078125	0.36952316761016846	-0.601219892501831	1207.3391435144242	0	1009002,21	
52	1009223	1001.0499877929688	0	781.4805908203125	0.5334380865097046	2.3260741233825684	1343.0252008979862	0	-1009002,21,21	
59	1009213	1001.0499877929688	1	646.09033203125	-1.1242672204971313	0.2041824758052826	1486.7769356895108	0	1009002,21,21	
59	1009223	1001.0499877929688	0	631.0623168945312	-1.4028886556625366	-2.919757127761841	1689.3649706110753	0	-1009002,21	
60	1009313	1001.30419921875	0	319.44378662109375	-0.9900566339492798	0.491497278213501	1114.4260008043668	0	-1009002,1	
60	1093314	1001.7249755859375	-1	263.45672607421875	-1.4274075031280518	-1.2589994668960571	1157.8377751390585	0	1009002,21	
61	1009213	1001.0499877929688	-1	1006.754638671875	0.17512159049510956	-2.4965643882751465	1430.754451161228	0	-1009002,21	
61	1009213	1001.0499877929688	1	1100.753662109375	0.5183765888214111	0.7957025170326233	1602.9904656779495	0	1009002,21	
62	1009113	1001.0499877929688	0	702.4063720703125	-1.3480180501937866	0.5544799566268921	1756.4654683151161	0	1009002,21,21	
62	1009313	1001.2249755859375	0	901.6996459960938	1.2350115776062012	-2.6391971111297607	1956.8667117041884	0	-1009002,21,21	
64	1009213	1001.0499877929688	1	309.84808349609375	-2.060861587524414	2.848189353942871	1590.771207242476	0	1009002,21,21,21	
64	1009213	1001.0499877929688	1	287.6984558105469	-0.3120362162590027	-0.36637476086616516	1045.5599136324936	0	1009002,21	
66	1009113	1001.0499877929688	0	370.99273681640625	-2.4244489669799805	-2.3706891536712646	2337.039544022532	0	-1009002,21	
66	1009323	1001.2249755859375	1	369.4402160644531	1.1494845151901245	1.0393552780151367	1189.1604420310107	0	-1009002,21	
68	1009213	1001.0499877929688	1	883.0433959960938	0.4026574194431305	1.0233886241912842	1383.9344206136213	0	-1009002,21,21	
68	1009113	1001.0499877929688	0	839.0209350585938	1.5294243097305298	-2.0566320419311523	2260.8488214791873	0	1009002,-3	
69	1009113	1001.0499877929688	0	457.03900146484375	-0.7999758124351501	-1.2629058361053467	1172.9142257500948	0	-1009002,21	
69	1009313	1001.2249755859375	0	513.5996704101562	0.6030564904212952	1.6987049579620361	1172.3381721113087	0	1009002,21	
70	1000993	1001.0999755859375	0	286.6618347167969	1.2680436372756958	-2.240422010421753	1142.0972007575622	0	-1009002,21,21	
70	1009213	1001.7089233398438	1	288.7942199707031	2.266383409500122	0.8727991580963135	1727.648496553213	0	1009002,-1	
71	1009213	1001.0499877929688	-1	277.8487243652344	0.3703601360321045	2.8994271755218506	1044.2142260192818	0	-1009002,21,21	
71	1009313	1001.2249755859375	0	208.44625854492188	-0.8440476655960083	-1.342397928237915	1041.605207071742	0	-1009002,21,2	
72	1009113	1001.0499877929688	0	1467.8770751953125	-0.37054359912872314	-0.25155583024024963	1861.8257605729325	0	-1009002,21	
72	1009223	1001.0499877929688	0	1560.2725830078125	-0.220906063914299	2.8771488666534424	1886.0796987483925	0	1009002,21,21	
73	1009213	1001.0499877929688	1	352.565185546875	2.281050682067871	1.3772162199020386	2010.2572786309768	0	1009002,21	
73	1092114	1001.375	0	450.62701416015625	1.1738195419311523	-1.8346649408340454	1280.7006816602411	0	1009002,21,21,21	
77	1009223	1001.0499877929688	0	426.85638427734375	-1.161824345588684	-0.9481622576713562	1250.15078272065	0	-1009002,3	
77	1000993	1001.0999755859375	0	412.40228271484375	0.5274403095245361	2.1666836738586426	1106.4104982840752	0	1009002,21	
