#Exclusive (bad private samples)																			
species	mass	ptj	ptb	xqcut(MG5)	icckw	qcut(P8)	Summary Cross_section (Generation log)	Summary Cross_section Error (Generation log)	Process@1	Process@1 Error	Process@2	Process@2 Error	Process@3	Process@3 Error	Cross-section Sum @2-3	Cross-section Sum @2-3 Error	Cross-section Sum @2-3/Total Cross-section	Cross-section Sum @2-3/Total Cross-section Error	Ratio: Excusive/Inclusive(Sum @2-3)
gluino	1500	20	20	0	        0	    N/A	        3.02E-02	                            6.66E-05	                                    7.40E-03	4.64E-05	    1.02E-02	1.35E-04	    1.23E-02	1.38E-04	    2.26E-02	            1.93E-04	                    7.47E-01	                                6.62E-03	                                        
gluino	1500	20	20	20	        1	    N/A	        4.32E-02	                            9.49E-05	                                    7.42E-03	5.54E-05	    1.54E-02	2.11E-04	    2.03E-02	2.35E-04	    3.57E-02	            3.16E-04	                    8.27E-01	                                7.53E-03	                                        9.73E-02
gluino	1500	20	20	40	        1	    N/A	        2.44E-02	                            6.33E-05	                                    7.40E-03	4.19E-05	    9.39E-03	1.20E-04	    7.40E-03	9.15E-05	    1.68E-02	            1.51E-04	                    6.90E-01	                                6.44E-03	                                        2.07E-01
gluino	1500	20	20	50	        1	    N/A	        2.07E-02	                            5.63E-05	                                    7.42E-03	3.87E-05	    7.87E-03	9.93E-05	    5.28E-03	6.55E-05	    1.31E-02	            1.19E-04	                    6.37E-01	                                6.02E-03	                                        2.64E-01
																			
gluino	1600	20	20	0	        0	    N/A	        1.67E-02	                            3.55E-05	                                    4.17E-03	2.65E-05	    5.65E-03	6.80E-05	    6.78E-03	7.38E-05	    1.24E-02	            1.00E-04	                    7.44E-01	                                6.21E-03	                                        
gluino	1600	20	20	20	        1	    N/A	        2.41E-02	                            4.90E-05	                                    4.19E-03	2.22E-05	    4.42E-03	5.77E-05	    2.92E-03	3.48E-05	    7.34E-03	            6.74E-05	                    3.05E-01	                                2.86E-03	                                        2.64E-01
gluino	1600	20	20	40	        1	    N/A	        1.37E-02	                            3.13E-05	                                    4.18E-03	2.42E-05	    5.27E-03	6.56E-05	    4.23E-03	5.13E-05	    9.50E-03	            8.32E-05	                    6.96E-01	                                6.30E-03	                                        2.04E-01
gluino	1600	20	20	50	        1	    N/A	        1.16E-02	                            2.54E-05	                                    4.17E-03	3.17E-05	    8.70E-03	1.18E-04	    1.12E-02	1.20E-04	    1.99E-02	            1.69E-04	                    1.72E+00	                                1.51E-02	                                        9.76E-02
																			
gluino	1800	20	20	0	        0	    N/A	        5.39E-03	                            1.10E-05	                                    1.39E-03	9.05E-06	    1.82E-03	2.71E-05	    2.14E-03	2.42E-05	    3.96E-03	            3.63E-05	                    7.35E-01	                                6.90E-03	                                        
gluino	1800	20	20	20	        1	    N/A	        7.81E-03	                            1.37E-05	                                    1.39E-03	1.09E-05	    2.81E-03	3.65E-05	    3.61E-03	3.96E-05	    6.42E-03	            5.39E-05	                    8.22E-01	                                7.05E-03	                                        1.00E-01
gluino	1800	20	20	40	        1	    N/A	        4.47E-03	                            9.74E-06	                                    1.40E-03	8.19E-06	    1.72E-03	2.30E-05	    1.34E-03	1.79E-05	    3.07E-03	            2.91E-05	                    6.86E-01	                                6.69E-03	                                        2.10E-01
gluino	1800	20	20	50	        1	    N/A	        3.79E-03	                            8.60E-06	                                    1.40E-03	7.61E-06	    1.43E-03	1.89E-05	    9.44E-04	1.22E-05	    2.38E-03	            2.25E-05	                    6.27E-01	                                6.10E-03	                                        2.71E-01
																			
gluino	2000	20	20	0	        0	    N/A	        1.84E-03	                            3.42E-06	                                    4.98E-04	3.16E-06	    6.17E-04	7.87E-06	    7.14E-04	8.14E-06	    1.33E-03	            1.13E-05	                    7.22E-01	                                6.29E-03	                                        
gluino	2000	20	20	20	        1	    N/A	        2.68E-03	                            4.97E-06	                                    4.95E-04	3.86E-06	    9.70E-04	1.36E-05	    1.21E-03	1.38E-05	    2.18E-03	            1.93E-05	                    8.15E-01	                                7.37E-03	                                        1.02E-01
gluino	2000	20	20	40	        1	    N/A	        1.55E-03	                            3.40E-06	                                    4.97E-04	2.89E-06	    5.94E-04	7.63E-06	    4.52E-04	5.78E-06	    1.05E-03	            9.57E-06	                    6.75E-01	                                6.35E-03	                                        2.12E-01
gluino	2000	20	20	50	        1	    N/A	        1.32E-03	                            3.19E-06	                                    4.96E-04	2.69E-06	    4.99E-04	6.44E-06	    3.23E-04	4.40E-06	    8.22E-04	            7.80E-06	                    6.23E-01	                                6.10E-03	                                        2.70E-01
																			
gluino	2200	20	20	0	        0	    N/A	        6.64E-04	                            1.40E-06	                                    1.87E-04	1.02E-06	    2.20E-04	3.01E-06	    2.54E-04	3.03E-06	    4.74E-04	            4.27E-06	                    7.14E-01	                                6.61E-03	                                        
gluino	2200	20	20	20	        1	    N/A	        9.64E-04	                            2.16E-06	                                    1.87E-04	1.24E-06	    3.53E-04	4.57E-06	    4.29E-04	5.15E-06	    7.82E-04	            6.88E-06	                    8.11E-01	                                7.37E-03	                                        1.03E-01
gluino	2200	20	20	40	        1	    N/A	        5.65E-04	                            1.15E-06	                                    1.87E-04	9.54E-07	    2.17E-04	3.01E-06	    1.60E-04	2.13E-06	    3.77E-04	            3.69E-06	                    6.67E-01	                                6.66E-03	                                        2.14E-01
gluino	2200	20	20	50	        1	    N/A	        4.84E-04	                            9.64E-07	                                    1.87E-04	9.36E-07	    1.80E-04	2.30E-06	    1.15E-04	1.51E-06	    2.95E-04	            2.75E-06	                    6.09E-01	                                5.81E-03	                                        2.74E-01
																			
gluino	2400	20	20	0	        0	    N/A	        2.55E-04	                            5.40E-07	                                    7.59E-05	4.14E-07	    8.42E-05	1.11E-06	    9.27E-05	1.12E-06	    1.77E-04	            1.57E-06	                    6.95E-01	                                6.34E-03	                                        
gluino	2400	20	20	20	        1	    N/A	        3.68E-04	                            9.46E-07	                                    7.59E-05	5.03E-07	    1.35E-04	1.71E-06	    1.56E-04	1.98E-06	    2.91E-04	            2.62E-06	                    7.92E-01	                                7.40E-03	                                        1.07E-01
gluino	2400	20	20	40	        1	    N/A	        2.18E-04	                            5.40E-07	                                    7.58E-05	4.00E-07	    8.26E-05	1.09E-06	    5.81E-05	8.07E-07	    1.41E-04	            1.35E-06	                    6.44E-01	                                6.40E-03	                                        2.22E-01
gluino	2400	20	20	50	        1	    N/A	        1.88E-04	                            4.88E-07	                                    7.58E-05	3.94E-07	    6.99E-05	9.86E-07	    4.22E-05	5.88E-07	    1.12E-04	            1.15E-06	                    5.98E-01	                                6.32E-03	                                        2.78E-01
																			
gluino	2600	20	20	0	        0	    N/A	        1.04E-04	                            2.50E-07	                                    3.28E-05	1.95E-07	    3.35E-05	4.23E-07	    3.65E-05	4.75E-07	    7.00E-05	            6.36E-07	                    6.76E-01	                                6.36E-03	                                        
gluino	2600	20	20	20	        1	    N/A	        1.48E-04	                            3.98E-07	                                    3.28E-05	2.29E-07	    5.44E-05	5.68E-07	    6.02E-05	7.88E-07	    1.15E-04	            9.71E-07	                    7.76E-01	                                6.90E-03	                                        1.08E-01
gluino	2600	20	20	40	        1	    N/A	        8.96E-05	                            2.51E-07	                                    3.28E-05	1.91E-07	    3.38E-05	4.47E-07	    2.25E-05	2.89E-07	    5.62E-05	            5.33E-07	                    6.27E-01	                                6.20E-03	                                        2.20E-01
gluino	2600	20	20	50	        1	    N/A	        7.75E-05	                            1.85E-07	                                    3.28E-05	1.87E-07	    2.80E-05	4.05E-07	    1.65E-05	2.45E-07	    4.45E-05	            4.74E-07	                    5.75E-01	                                6.27E-03	                                        2.78E-01
