event	pdgid	mass	charge	pt	eta	phi	mothers	daughters	longLived
510	1092214	1001.38	-1.0	459.493	1336.41	1.27318	0.501292	-1009002,21,21		0
513	1009223	1001.05	0.0	515.023	1569.76	-1.49781	-0.404256	1009002,21,21		0
515	1009113	1001.05	0.0	413.512	1219.28	1.11105	2.95986	1009002,21		0
516	1009113	1001.05	0.0	487.006	1114.09	0.0896109	0.00797221	-1009002,21		0
520	1009323	1001.22	1.0	569.443	1178.07	-0.42161	3.11945	-1009002,21,21		0
521	1092114	1001.38	0.0	495.652	1534.1	1.49641	1.84281	1009002,21,21		0
522	1091114	1001.38	1.0	494.435	1199.99	0.799911	-1.29337	1009002,21		0
524	1009213	1001.05	-1.0	459.072	1244.74	-1.0561	0.0935344	-1009002,21,21		0
526	1009323	1001.22	1.0	460.717	1108.96	-0.26353	-3.06943	1009002,21,21		0
529	1000993	1001.1	0.0	689.743	1216.95	0.0795559	3.0796	-1009002,21,21		0
531	1000993	1001.1	0.0	680.072	1451.47	1.00197	-0.0832569	1009002,21		0
533	1009213	1001.05	1.0	617.22	1671.49	1.40931	0.279628	-1009002,21		0
534	1009223	1001.05	0.0	609.594	1515.44	-1.23613	-3.05575	1009002,21		0
535	1009213	1001.05	1.0	586.169	1581.22	1.3664	-0.546549	-1009002,21,21		0
537	1009323	1001.22	-1.0	710.273	1486.07	1.00256	-3.02993	1009002,21,21		0
538	1009223	1001.05	0.0	248.627	1096.39	1.19197	-1.00653	-1009002,21		0
540	1009223	1001.05	0.0	171.828	1223.81	2.08818	3.06688	-1009002,21		0
541	1091114	1001.38	-1.0	893.381	1350.2	-0.16582	-2.5241	1009002,21,21		0
543	1009113	1001.05	0.0	896.613	1851.11	1.14945	0.706163	-1009002,21,21		0
545	1009313	1001.22	0.0	100.575	1064.55	-1.95307	2.67158	1009002,21		0
548	1092114	1001.38	0.0	298.124	1097.26	-0.966595	1.33354	-1009002,21		0
550	1009213	1001.05	-1.0	634.162	1188.01	0.132551	0.94649	-1009002,21		0
551	1009223	1001.05	0.0	696.362	1761.63	1.36285	-2.18287	1009002,-2		0
552	1009313	1001.22	0.0	591.633	1305.44	0.883056	-1.65472	-1009002,21		0
554	1009213	1001.05	-1.0	522.734	1184.2	0.637576	1.88146	1009002,21,21,21,21,21,21,21,21,21,21,21		0
560	1009113	1001.05	0.0	665.98	1453.32	1.03243	-0.542702	-1009002,21		0
561	1000993	1001.1	0.0	664.348	1920.52	1.55229	2.58035	1009002,21		0
563	1009113	1001.05	0.0	525.54	1135.76	0.203956	-2.20254	-1009002,21		0
565	1009213	1001.05	-1.0	521.983	1134.59	0.214445	0.915091	1009002,21,21		0
566	1093214	1001.55	0.0	779.241	2583.59	-1.78243	-2.9174	1009002,21		0
567	1009113	1001.05	0.0	608.86	1213.31	-0.496905	0.511291	1009002,2101		0
568	1009213	1001.05	-1.0	705.472	1392.42	-0.837738	-2.93648	-1009002,21		0
570	1009213	1001.05	1.0	500.111	1385.13	-1.26596	0.291092	1009002,21,21		0
571	1009213	1001.05	-1.0	635.442	1219.67	-0.435897	1.22187	-1009002,21		0
572	1009213	1001.05	1.0	291.092	1057.06	0.569199	-1.65152	1009002,21		0
574	1009213	1001.05	-1.0	232.594	1065.85	-1.02546	-2.16242	1009002,21,21		0
578	1009213	1001.05	-1.0	442.694	1105.15	0.338188	1.80756	1009002,21,21		0
579	1009223	1001.05	0.0	449.445	2092.57	-2.08604	-2.9939	-1009002,21,21		0
580	1009323	1001.22	1.0	440.92	1102.03	-0.296505	0.545464	1009002,21		0
581	1009213	1001.05	1.0	469.428	1363.91	-1.30145	0.913652	-1009002,21		0
587	1000993	1001.1	0.0	472.791	1782.01	-1.80362	-2.19511	1009002,21,21		0
588	1009113	1001.05	0.0	845.285	1676.85	1.04013	-0.718271	-1009002,21,21		0
589	1091114	1001.38	-1.0	710.821	1268.67	0.434417	2.30821	1009002,2101		0
