event	pdg_id	mass	charge	pt	eta	phi	energy	long_lived	mothers	daughters
37	1009213	1801.050048828125	-1	693.6554565429688	-0.7853795289993286	1.3296093940734863	2021.8791026082943	0	-1009002,21,21	
37	1009223	1801.050048828125	0	744.1613159179688	-0.949432909488678	-1.7575299739837646	2113.284774676018	0	1009002,21	
38	1009323	1801.2666015625	1	725.5963745117188	-1.3607707023620605	-0.3519962430000305	2348.9610934230986	0	-1009002,2	
38	1009223	1801.050048828125	0	722.3844604492188	-1.1904510259628296	2.788050651550293	2219.8292839817695	0	-1009002,21	
41	1009213	1801.050048828125	-1	961.8621826171875	0.7742809057235718	-2.3237831592559814	2200.8419354622865	0	-1009002,21	
41	1009213	1801.050048828125	-1	984.2996826171875	-0.37518414855003357	0.4841253161430359	2086.989515519099	0	-1009002,21	
43	1009213	1801.050048828125	1	342.5854797363281	-2.1165778636932373	1.3315644264221191	2307.706293505776	0	-1009002,21	
43	1009213	1801.050048828125	-1	333.02874755859375	-0.3624909818172455	-1.8618388175964355	1835.7320941279131	0	1009002,21,21	
46	1009113	1801.050048828125	0	821.249267578125	-0.6022230386734009	0.22015902400016785	2047.895097246062	0	-1009002,21,21	
46	1009213	1801.050048828125	-1	730.5380859375	-1.500773549079895	-3.106135368347168	2490.230460357897	0	1009002,21,21	
48	1009213	1801.050048828125	1	557.275634765625	-1.4405308961868286	3.005427122116089	2188.141961478131	0	-1009002,21,21	
48	1009113	1801.050048828125	0	564.9080810546875	1.8967585563659668	-0.10594034940004349	2635.9754312821765	0	1009002,21,21	
49	1009213	1801.050048828125	-1	1067.7803955078125	0.5193026661872864	1.3278838396072388	2172.5699498327626	0	-1009002,21	
49	1009213	1801.050048828125	-1	1075.500732421875	1.0614409446716309	-1.8135241270065308	2504.5670160783657	0	1009002,21,21	
50	1093214	1801.550048828125	0	946.32470703125	-0.08547169715166092	2.1557140350341797	2036.583215661628	0	-1009002,21,21	
50	1009213	1801.050048828125	1	674.931396484375	-1.6608165502548218	-0.6885526180267334	2575.0442512830964	0	1009002,21,21	
51	1009113	1801.050048828125	0	780.8439331054688	0.22474120557308197	0.5485105514526367	1970.9937818776625	0	-1009002,21	
51	1009313	1801.2249755859375	0	850.9309692382812	-0.9067153930664062	-2.67802357673645	2178.507851588521	0	1009002,21,21	
52	1009213	1801.050048828125	1	1035.6715087890625	-1.0962990522384644	1.8326011896133423	2492.4420154206027	0	1009002,21	
52	1009223	1801.050048828125	0	1071.788330078125	-0.03745679557323456	-1.4016793966293335	2096.2165771951177	0	-1009002,21	
55	1009223	1801.050048828125	0	1769.2142333984375	0.29940125346183777	0.5383647084236145	2581.273432067921	0	-1009002,4	
55	1009223	1801.050048828125	0	1332.56103515625	0.5902888178825378	-2.6071114540100098	2390.2971244394935	0	1009002,21,21	
57	1009213	1801.050048828125	-1	467.1531066894531	-0.8073106408119202	0.07783704251050949	1907.3437428446848	0	1009002,21,21	
57	1009113	1801.050048828125	0	460.54241943359375	-0.9013652205467224	-2.966933488845825	1918.3927086983504	0	1009002,21	
58	1009223	1801.050048828125	0	687.149658203125	-0.8770238161087036	1.5879337787628174	2045.079006463354	0	1009002,21,21	
58	1009213	1801.050048828125	1	680.58447265625	-1.8075311183929443	-1.5651432275772095	2789.4165884399667	0	-1009002,21,21,21	
60	1009313	1801.2249755859375	0	938.615234375	-1.3410804271697998	2.3152456283569336	2630.4542568998836	0	1009002,21,21	
60	1009323	1801.2249755859375	-1	1021.3136596679688	0.3531017601490021	-0.8006002306938171	2103.1027020905726	0	1009002,21,21,21	
62	1009313	1801.2249755859375	0	396.2735900878906	-0.8182879686355591	1.6349961757659912	1879.430779022583	0	1009002,21	
62	1009223	1801.050048828125	0	358.5201721191406	-2.0619115829467773	-0.601017951965332	2300.9351613314298	0	1009002,21,21	
68	1009323	1801.2249755859375	1	518.2705688476562	0.8785244226455688	0.6240022778511047	1944.0838761991208	0	1009002,21,21	
68	1009313	1801.2249755859375	0	496.53570556640625	-0.9253243207931519	-2.508371591567993	1941.552130948048	0	-1009002,21,21	
69	1009113	1801.050048828125	0	732.010009765625	-0.7075987458229065	-1.3538577556610107	2023.8054430246018	0	-1009002,21	
69	1000993	1801.0999755859375	0	735.808349609375	0.5842534303665161	1.8563545942306519	1998.0483834258443	0	1009002,21,21,-4	
71	1093214	1801.550048828125	0	1654.0262451171875	0.08494719117879868	-2.1471357345581055	2449.7294853433614	0	1009002,21,21	
71	1009213	1801.050048828125	-1	1817.9281005859375	-0.09779272228479385	0.9953466653823853	2565.2193895139085	0	1009002,2101	
72	1009113	1801.050048828125	0	799.1557006835938	1.3557446002960205	0.7363997101783752	2444.7701444454324	0	1009002,21,21	
