event	pdgid	mass	charge	pt	energy	eta	phi	mothers	daughters	longLived
446	1092214	1801.38	1.0	1373.75	2292.09	0.251108	0.39471	-1009002,21,21		0
447	1009213	1801.05	-1.0	901.931	2471.91	-1.24296	1.47924	1009002,21		0
448	1009213	1801.05	1.0	909.165	2232.9	-0.917941	-1.67348	-1009002,21		0
449	1000993	1801.1	0.0	1770.46	3769.71	-1.23873	-0.853612	-1009002,21		0
450	1009213	1801.05	1.0	2228	2950.5	0.311581	2.28909	1009002,21		0
451	1009113	1801.05	0.0	803.108	1974.37	0.120194	-0.334203	-1009002,21,21		0
452	1092214	1801.38	1.0	834.847	2134.99	-0.838536	2.81009	1009002,21		0
453	1009113	1801.05	0.0	728.884	2786.63	1.73305	-2.86723	1009002,21		0
454	1009213	1801.05	-1.0	678.976	1976.13	-0.618885	0.366537	-1009002,21,21		0
457	1009223	1801.05	0.0	697.808	1964.68	0.494794	-1.27567	-1009002,21,21,21		0
458	1009213	1801.05	1.0	698.792	3101.17	1.95789	1.86127	1009002,21,21,-3		0
461	1009113	1801.05	0.0	486.106	1874.05	0.360013	0.903768	-1009002,21		0
462	1009213	1801.05	-1.0	485.807	1895.35	-0.644929	-2.27023	1009002,21		0
463	1009113	1801.05	0.0	741.186	2075.75	-0.859133	-2.15612	-1009002,21		0
465	1009313	1801.22	0.0	781.554	2176.58	-1.01714	1.28209	-1009002,21		0
466	1009113	1801.05	0.0	1206.21	2959.51	-1.28575	-3.0201	-1009002,21		0
467	1009223	1801.05	0.0	1239.05	2547.2	0.919825	0.149669	-1009002,21		0
468	1009323	1801.22	1.0	621.272	2071.27	-1.08297	-1.37285	-1009002,21,21		0
469	1000993	1801.1	0.0	631.572	2533.46	-1.69725	1.76561	1009002,21,21		0
471	1009223	1801.05	0.0	716.901	1946.89	0.249436	0.416947	-1009002,21,21		0
473	1000993	1801.1	0.0	688.266	2097.03	1.0147	-2.6499	1009002,21,21		0
474	1000993	1801.1	0.0	472.98	2010.83	-1.25125	1.7372	-1009002,1		0
476	1009113	1801.05	0.0	468.992	1897.5	-0.723719	-1.30897	1009002,21		0
477	1009223	1801.05	0.0	1270.47	2240.75	0.312735	-2.38962	-1009002,21,21		0
479	1009213	1801.05	1.0	1082.37	2390.48	0.918391	0.709688	1009002,21,21,21		0
480	1093214	1801.55	0.0	1120.23	2532.84	-1.03835	-0.615868	-1009002,21		0
485	1009213	1801.05	1.0	1139.79	2375.51	0.823834	2.52047	1009002,21		0
486	1009113	1801.05	0.0	1590.95	3511.71	-1.25403	-2.52281	-1009002,21,21		0
489	1000993	1801.1	0.0	1429.93	2433.51	-0.531197	0.558234	-1009002,21		0
490	1009213	1801.05	1.0	56.3635	2291.47	-3.91702	-2.84794	-1009002,21		0
492	1009113	1801.05	0.0	70.8077	3120.28	-4.27606	-0.0748811	1009002,21		0
495	1009213	1801.05	-1.0	624.298	1912.25	0.241465	0.682368	-1009002,3		0
496	1009223	1801.05	0.0	618.019	2010.51	-0.912269	-2.44702	1009002,21		0
