event	pdgid	mass	charge	pt	eta	phi	mothers	daughters	longLived
475	1009213	1801.05	-1.0	1914.59	2674.31	-0.254443	1.08189	-1009002,21,21		0
476	1009223	1801.05	0.0	1967.15	3641.1	-1.05386	-2.07897	1009002,21,21,21,21		0
477	1009313	1801.22	0.0	1116.06	3269.02	-1.54217	2.15288	-1009002,21		0
478	1009223	1801.05	0.0	880.864	2161.94	0.822388	-0.968697	1009002,21		0
480	1009223	1801.05	0.0	401.325	1882.07	0.826214	-0.734234	-1009002,21		0
481	1009223	1801.05	0.0	393.474	1856.21	-0.525872	2.4052	1009002,-2		0
486	1009213	1801.05	-1.0	1067.21	2265.55	0.741615	1.42911	-1009002,21		0
488	1009113	1801.05	0.0	1080.33	2391.66	0.922544	-1.68083	-1009002,21,21		0
489	1009213	1801.05	-1.0	54.0259	2063.16	3.61711	1.61693	-1009002,21		0
490	1092214	1801.38	1.0	136.997	1968.69	-2.44303	-1.46423	1009002,21		0
492	1009213	1801.05	1.0	873.519	2001.8	-0.0229362	-1.46867	-1009002,21		0
493	1092114	1801.38	0.0	948.378	2462.75	1.17313	1.77956	1009002,21		0
495	1000993	1801.1	0.0	465.193	2452.83	-1.9482	-0.712382	-1009002,1		0
498	1009213	1801.05	1.0	847.404	2151.42	0.855388	1.60434	1009002,-2		0
500	1009113	1801.05	0.0	212.553	2054.84	-2.21913	1.97913	-1009002,21		0
502	1009113	1801.05	0.0	376.512	2518.15	-2.22357	-2.18363	1009002,21,21		0
504	1000993	1801.1	0.0	805.562	2061.76	0.687296	1.19034	1009002,21		0
505	1092214	1801.38	1.0	948.787	2042.91	0.176502	-1.85551	1009002,21,21,21,21		0
506	1009213	1801.05	1.0	1082.75	2356.47	0.870536	-1.02306	-1009002,21		0
507	1000993	1801.1	0.0	1030.74	2251.31	0.768876	2.04276	1009002,21		0
509	1000993	1801.1	0.0	281.856	2596.5	2.57986	-0.946786	1009002,21,21		0
510	1009213	1801.05	-1.0	283.145	1837.6	0.741838	2.62005	-1009002,21,21		0
511	1009113	1801.05	0.0	506.469	1874.12	-0.215016	-2.69822	1009002,-3		0
512	1009213	1801.05	1.0	487.124	1902.79	0.706596	0.438613	-1009002,21		0
513	1000993	1801.1	0.0	1321.88	2825.7	1.08382	-3.11207	1009002,21,-4		0
514	1009113	1801.05	0.0	1339.84	2299.08	-0.362793	-0.289451	-1009002,2		0
515	1009223	1801.05	0.0	1393.81	2373.81	-0.463686	-0.427644	-1009002,21,21		0
516	1009113	1801.05	0.0	1359.47	2367.64	-0.505463	2.72152	-1009002,21,21		0
518	1009223	1801.05	0.0	647.992	2023.9	-0.891855	1.66337	-1009002,21,21		0
520	1009223	1801.52	0.0	658.333	1931.65	-0.341044	-1.44318	1009002,-2		0
522	1009313	1801.22	0.0	1182.98	3173.98	1.43007	0.905345	-1009002,21,21		0
523	1092114	1801.38	0.0	1162.13	3004.32	1.35587	-2.21804	1009002,-1		0
525	1092214	1801.38	1.0	1432.97	2398.05	0.453599	-2.76094	1009002,21,21		0
526	1092114	1801.38	0.0	1374.09	2291.49	0.247307	0.395174	-1009002,21		0
527	1009223	1801.05	0.0	901.863	2227.29	-0.919099	-1.66306	-1009002,21,21		0
528	1009223	1801.05	0.0	909.291	2471.87	-1.23329	1.4701	1009002,21		0
530	1009213	1801.05	1.0	687.509	2412.25	1.49138	-1.99086	-1009002,21		0
533	1009313	1801.22	0.0	531.574	2003.95	1.08772	0.707446	1009002,21,21		0
538	1009313	1801.22	0.0	1055.64	2176.3	-0.553329	0.0290027	-1009002,21,21		0
540	1000993	1801.1	0.0	1032.12	2091.68	0.246232	-3.07901	-1009002,4		0
544	1009313	1801.22	0.0	960.117	3297.45	-1.71813	1.69624	-1009002,21		0
545	1009323	1801.22	-1.0	1004.54	2067.83	0.148444	-1.41273	1009002,21,-2		0
546	1009323	1801.22	-1.0	963.278	2643.59	1.32199	-2.3853	-1009002,21		0
551	1009323	1801.22	1.0	1179.79	2327.38	0.692167	0.548594	-1009002,21,21		0
553	1009323	1801.22	1.0	665.453	1946.04	0.458557	-1.30907	-1009002,21		0
557	1009313	1801.22	0.0	719.29	3070.17	1.91181	1.87971	1009002,21		0
562	1009223	1801.05	0.0	487.69	1876.56	0.398789	0.88208	-1009002,2		0
563	1000993	1801.1	0.0	473.924	1898.71	-0.716743	-2.26266	1009002,21		0
564	1009113	1801.05	0.0	1620.04	3304.72	1.13072	-1.2933	-1009002,21,21		0
565	1000993	1801.1	0.0	1582.75	2447.75	-0.30629	1.94884	1009002,21		0
566	1009223	1801.05	0.0	1094.9	3479.05	-1.65757	-1.19871	-1009002,21,21,21		0
567	1092214	1801.38	1.0	1088.67	2553.47	-1.09538	1.95744	1009002,21		0
568	1009213	1801.05	-1.0	1411.87	2310.76	-0.22479	1.3917	-1009002,21,21		0
570	1009223	1801.05	0.0	365.741	2263.94	-1.99679	-2.08217	1009002,21		0
572	1009113	1801.05	0.0	631.992	2075.98	-1.07344	-1.36944	-1009002,21,21		0
575	1009213	1801.05	-1.0	616.333	2531.63	-1.7218	1.76384	1009002,21		0
577	1009223	1801.05	0.0	386.42	1848.17	-0.380121	0.279671	1009002,21		0
578	1009223	1801.05	0.0	101.402	1951.9	2.69277	-1.65066	-1009002,21,21		0
