event	bunchCrossing	pdgid	mass	charge	pt	eta	phi	mothers	daughters
293	-1	1009213	1801.05	1.0	567.792	1.42889	-2.57935	-1009002,21	
293	-1	1009113	1801.05	0.0	699.203	-0.577432	0.620249	-1009002,21,21	
294	-1	1000993	1801.1	0.0	349.569	-0.482312	1.28305	-1009002,21	
294	-1	1009223	1801.05	0.0	353.058	2.31988	-1.849	1009002,21,21	
296	-1	1009213	1801.05	1.0	1068.97	-0.815028	-1.50277	1009002,21	
296	-1	1009213	1801.05	1.0	1089.91	-1.38911	1.64565	-1009002,21,21	
297	-1	1009213	1801.05	1.0	575.084	1.21976	0.157186	-1009002,21,21	
297	-1	1009213	1801.05	-1.0	654.284	0.546606	-2.93779	1009002,21,21	
298	-1	1009313	1801.22	0.0	549.523	-0.282039	2.24538	1009002,21	
298	-1	1009113	1801.05	0.0	520.461	0.721305	-0.93386	-1009002,21,21	
299	-1	1009213	1801.05	-1.0	556.224	1.43706	-0.0515601	-1009002,21	
299	-1	1009223	1801.05	0.0	370.649	1.67382	-3.07864	1009002,21,21	
300	-1	1000993	1801.1	0.0	345.831	-0.984836	-3.09993	-1009002,21	
300	-1	1009113	1801.05	0.0	391.199	1.58746	1.38144	-1009002,21	
302	-1	1000993	1801.1	0.0	653.196	0.796619	-0.0330254	-1009002,21	
302	-1	1009213	1801.05	-1.0	660.932	0.925856	3.05277	1009002,21	
306	-1	1009113	1801.05	0.0	957.483	0.982894	-0.868298	1009002,21,21	
306	-1	1009223	1801.05	0.0	955.387	0.195998	2.26726	-1009002,21	
308	-1	1000993	1801.1	0.0	876.524	-0.77345	-1.0365	1009002,21,21	
308	-1	1092224	1801.38	-2.0	871.167	0.0757579	2.09538	1009002,21	
311	-1	1009213	1801.05	1.0	1159.35	-1.55145	3.11163	-1009002,21	
311	-1	1009213	1801.05	-1.0	1064.83	-0.593168	0.193188	1009002,21	
312	-1	1000993	1801.1	0.0	311.466	2.22144	-0.39929	-1009002,2	
312	-1	1009223	1801.05	0.0	294.021	2.11497	2.74599	1009002,21,21,21,21	
314	-1	1000993	1801.1	0.0	500.723	2.36432	-2.54492	-1009002,21,21	
314	-1	1009213	1801.05	-1.0	515.249	1.37607	0.532122	1009002,21,21	
315	-1	1000993	1801.1	0.0	937.933	-0.657638	1.83188	1009002,21,21,21	
315	-1	1009313	1801.22	0.0	934.03	0.453689	-1.3099	-1009002,21,21	
316	-1	1009213	1801.05	-1.0	1054.46	0.297608	2.52546	1009002,21,21	
316	-1	1009213	1801.05	-1.0	1085.53	0.207164	-0.627813	-1009002,21,21	
320	-1	1009313	1801.22	0.0	539.61	-1.43679	-1.13516	1009002,21	
320	-1	1009213	1801.05	1.0	464.108	-1.7189	2.04707	-1009002,21,21	
321	-1	1009223	1801.05	0.0	1093.31	0.649533	2.32245	1009002,21,21,21	
321	-1	1009323	1801.22	1.0	1092.71	1.23565	-0.827934	-1009002,21,21	
322	-1	1000993	1801.1	0.0	343.769	2.59795	-1.03006	-1009002,21,21	
322	-1	1009313	1801.22	0.0	348.604	-0.649124	2.18387	1009002,21,21	
324	-1	1000993	1801.1	0.0	808.166	-0.646108	0.281489	-1009002,1	
324	-1	1009113	1801.05	0.0	881.518	1.94696	-2.89363	1009002,21	
325	-1	1009223	1801.05	0.0	1164.16	0.226846	0.0872268	-1009002,21	
325	-1	1092214	1801.38	-1.0	1043.11	-0.743842	3.11287	1009002,21	
327	-1	1009213	1801.05	1.0	581.796	0.975796	-0.529276	-1009002,21,21	
327	-1	1093214	1801.55	0.0	500.385	-1.36154	2.45837	1009002,21	
328	-1	1009213	1801.05	1.0	618.317	1.62412	-2.6769	-1009002,21,21	
328	-1	1009113	1801.05	0.0	1343.61	-0.813613	-0.653656	1009002,21,21	
330	-1	1009113	1801.05	0.0	203.509	-0.412276	1.47724	1009002,21,21	
330	-1	1092224	1801.38	2.0	139.399	3.04497	-1.36869	-1009002,21	
331	-1	1092114	1801.38	0.0	593.34	0.594105	-2.06577	-1009002,21,21	
331	-1	1009223	1801.05	0.0	683.05	0.976242	0.98367	1009002,21,21	
332	-1	1009113	1801.05	0.0	628.966	1.34306	1.84622	-1009002,21,21	
332	-1	1009313	1801.22	0.0	504.341	1.80025	-1.16637	1009002,21,21	
335	-1	1009223	1801.05	0.0	1316.5	-0.163711	-1.55995	-1009002,21	
335	-1	1009213	1801.05	1.0	1258.58	-0.829974	1.49287	1009002,21	
340	-1	1092224	1801.38	2.0	538.162	-0.924879	-2.14744	1009002,21,21	
340	-1	1091114	1801.38	-1.0	374.092	-0.490985	-1.14045	1009002,21,21	
341	-1	1009113	1801.05	0.0	742.181	-0.351613	-1.62957	-1009002,21	
341	-1	1009213	1801.05	-1.0	731.402	-1.28402	1.50947	1009002,21,21	
342	-1	1009213	1801.05	-1.0	577.246	1.31821	1.36124	-1009002,21,21	
342	-1	1092114	1801.38	0.0	520.736	-0.732357	-1.7226	1009002,21	
345	-1	1009213	1801.05	1.0	924.427	-1.23943	1.02567	1009002,21	
345	-1	1000993	1801.1	0.0	476.22	-0.583854	3.01132	-1009002,21	
346	-1	1009113	1801.05	0.0	1300.93	0.0443995	1.52175	1009002,21,21	
346	-1	1009323	1801.22	1.0	1446.54	0.509666	-2.10709	-1009002,21,21,21	
347	-1	1009213	1801.05	-1.0	1346.91	-1.32306	1.34402	1009002,21,21	
347	-1	1009313	1801.22	0.0	1345.25	-1.00255	-1.7951	1009002,21,21	
351	-1	1000993	1801.1	0.0	272.671	1.15946	-0.311713	1009002,21,21	
351	-1	1009113	1801.05	0.0	412.954	-1.6669	1.87654	1009002,21	
352	-1	1092224	1801.38	2.0	509.555	-1.20193	1.48318	1009002,21,21	
352	-1	1009223	1801.05	0.0	530.552	-0.706204	-1.65237	1009002,21,-2	
353	-1	1009213	1801.05	-1.0	1096.82	0.204978	0.868886	-1009002,21,21	
353	-1	1000993	1801.1	0.0	1010.81	0.674985	-2.24119	1009002,21	
356	-1	1009213	1801.05	-1.0	193.152	2.60245	-2.50551	-1009002,21	
356	-1	1009213	1801.05	1.0	178.07	1.52143	1.72944	1009002,-4	
357	-1	1009223	1801.05	0.0	245.984	-1.66552	2.7321	-1009002,21,21	
357	-1	1009223	1801.05	0.0	375.662	-1.53196	2.80744	1009002,21	
358	-1	1009213	1801.05	-1.0	1170.76	-0.172601	0.514605	-1009002,21,21	
