#Exclusive (bad private samples)
species,    mass,   ptj,    ptb,    xqcut(MG5), qcut(P8), Summary Cross_section (Generation log),Summary Cross_section Error (Generation log), Process@1, Process@1 Error,  Process@2, Process@2 Error,     Process@3,  Process@3 Error,    Cross-section Sum @2-3, Cross-section Sum @2-3 Error,  Cross-section Sum @2-3/Total Cross-section,  Cross-section Sum @2-3/Total Cross-section Error, Ratio: Excusive/Inclusive(Sum @2-3)
gluino,     2200,   20,     20,     40,        N/A,       0.0005652,                             1.15E-06,                                    1.87E-04,  9.54E-07,        2.17E-04,   3.01E-06,             1.60E-04,   2.13E-06,           3.77E-04,               3.69E-06,                       6.67E-01,                                   6.66E-03,                                         2.14E-01
gluino,     2200,   20,     20,     50,        N/A,       0.0004841,                             9.64E-07,                                    1.87E-04,  9.36E-07,        1.80E-04,   2.30E-06,             1.15E-04,   1.51E-06,           2.95E-04,               2.75E-06,                       6.09E-01,                                   5.81E-03,                                         2.74E-01
        
gluino,     2400,   0,      0,      0,         N/A,      Need to generate
gluino,     2400,   20,     20,     20,        N/A,       0.000368,                              9.46E-07,                                    7.59E-05,  5.03E-07,        1.35E-04,   1.71E-06,             1.56E-04,   1.98E-06,           2.91E-04,               2.62E-06,                       7.92E-01,                                   7.40E-03,                                         1.07E-01
gluino,     2400,   20,     20,     40,        N/A,       0.0002184,                             5.40E-07,                                    7.58E-05,  4.00E-07,        8.26E-05,   1.09E-06,             5.81E-05,   8.07E-07,           1.41E-04,               1.35E-06,                       6.44E-01,                                   6.40E-03,                                         2.22E-01
gluino,     2400,   20,     20,     50,        N/A,       0.0001875,                             4.88E-07,                                    7.58E-05,  3.94E-07,        6.99E-05,   9.86E-07,             4.22E-05,   5.88E-07,           1.12E-04,               1.15E-06,                       5.98E-01,                                   6.32E-03,                                         2.78E-01
        
gluino,     2600,   0,      0,      0,         N/A,      Need to generate
gluino,     2600,   20,     20,     20,        N/A,       0.0001478,                             3.98E-07,                                    3.28E-05,  2.29E-07,        5.44E-05,   5.68E-07,             6.02E-05,   7.88E-07,           1.15E-04,               9.71E-07,                       7.76E-01,                                   6.90E-03,                                         1.08E-01
gluino,     2600,   20,     20,     40,        N/A,       8.96E-05,                              2.51E-07,                                    3.28E-05,  1.91E-07,        3.38E-05,   4.47E-07,             2.25E-05,   2.89E-07,           5.62E-05,               5.33E-07,                       6.27E-01,                                   6.20E-03,                                         2.20E-01
gluino,     2600,   20,     20,     50,        N/A,       7.75E-05,                              1.85E-07,                                    3.28E-05,  1.87E-07,        2.80E-05,   4.05E-07,             1.65E-05,   2.45E-07,           4.45E-05,               4.74E-07,                       5.75E-01,                                   6.27E-03,                                         2.78E-01
